Codigo,Nombre,Marca,Estatus,Asignado a,Observaciones,Fecha Modificacion
1483,MESA FRIA TORREY PTP-21 CON MESA SANALITE BLANCA   ,Equilinea,Por revisar,,,
1484,MESA FRIA TORREY PTP-01 CON MESA SANALITE BLANCA      ,Naresa,Por revisar,,,
1484,MESA FRIA TORREY PTP-01 CON MESA SANALITE BLANCA      ,Equilinea,Por revisar,,,
1506,REFRIGERADOR TORREY RV42 TVC42 NEGRO  ,Naresa,Por revisar,,,
1506,REFRIGERADOR TORREY RV42 TVC42 NEGRO  ,Equilinea,Por revisar,,,
1519,BASE DE ACERO INOXIDABLE PARA PLT-1200G,Naresa,Por revisar,,,
1519,BASE DE ACERO INOXIDABLE PARA PLT-1200G,Equilinea,Por revisar,,,
1536,HORNO TORREY COMERCIAL ALTA VELOCIDAD CONVECCION Y MICROONDAS  ,Naresa,Por revisar,,,
1536,HORNO TORREY COMERCIAL ALTA VELOCIDAD CONVECCION Y MICROONDAS  ,Equilinea,Por revisar,,,
1613,REFRIGERADOR VERTICAL TORREY VR08 TVC08 NEGRO ,Naresa,Por revisar,,,
1613,REFRIGERADOR VERTICAL TORREY VR08 TVC08 NEGRO ,Equilinea,Por revisar,,,
1615,VITRINA CARNICERA TORREY VCA200 ACERO INOXIDABLE                                                    ,Naresa,Por revisar,,,
1615,VITRINA CARNICERA TORREY VCA200 ACERO INOXIDABLE                                                    ,Equilinea,Por revisar,,,
1616,VITRINA CARNICERA TORREY VCA250 ACERO INOXIDABLE                                                    ,Naresa,Por revisar,,,
1616,VITRINA CARNICERA TORREY VCA250 ACERO INOXIDABLE                                                    ,Equilinea,Por revisar,,,
1691,VITRINA CARNICERA TORREY VCA200 NEGRA     ,Naresa,Por revisar,,,
1691,VITRINA CARNICERA TORREY VCA200 NEGRA     ,Equilinea,Por revisar,,,
1697,REFRIGERADOR VERTICAL TORREY VR08 TVC08 BLANCO   ,Naresa,Por revisar,,,
1697,REFRIGERADOR VERTICAL TORREY VR08 TVC08 BLANCO   ,Equilinea,Por revisar,,,
1699,REFRIGERADOR VERTICAL TORREY 3 PUERTAS G372 BLANCO,Naresa,Por revisar,,,
1699,REFRIGERADOR VERTICAL TORREY 3 PUERTAS G372 BLANCO,Equilinea,Por revisar,,,
1713,VITRINA CARNICERA TORREY VCA250 BLANCA         ,Naresa,Por revisar,,,
1713,VITRINA CARNICERA TORREY VCA250 BLANCA         ,Equilinea,Por revisar,,,
1737,ROSTICERO TORREY RO-27           ,Naresa,Por revisar,,,
1737,ROSTICERO TORREY RO-27           ,Equilinea,Por revisar,,,
1739,ROSTICERO TORREY RO-48     ,Naresa,Por revisar,,,
1739,ROSTICERO TORREY RO-48     ,Equilinea,Por revisar,,,
1751,REFRIGERADOR TORREY RV26 TVC26 NEGRO.     ,Naresa,Por revisar,,,
1751,REFRIGERADOR TORREY RV26 TVC26 NEGRO.     ,Equilinea,Por revisar,,,
1805,REPISA TORREY A INOX CALIBRE 18 140 X 25,Naresa,Por revisar,,,
1805,REPISA TORREY A INOX CALIBRE 18 140 X 25,Equilinea,Por revisar,,,
1852,SIERRA TORREY SJ-295 JR               ,Naresa,Por revisar,,,
1852,SIERRA TORREY SJ-295 JR               ,Equilinea,Por revisar,,,
1854,SISTEMA DE FILTRO PARA AGUA MOD SPA-105,Naresa,Por revisar,,,
1854,SISTEMA DE FILTRO PARA AGUA MOD SPA-105,Equilinea,Por revisar,,,
1867,SIERRA TORREY ST-295 1.5HP MONOFASICA    ,Naresa,Por revisar,,,
1867,SIERRA TORREY ST-295 1.5HP MONOFASICA    ,Equilinea,Por revisar,,,
1868,SIERRA TORREY ST-295 ACERO INOX 1.5 HP MONO,Naresa,Por revisar,,,
1868,SIERRA TORREY ST-295 ACERO INOX 1.5 HP MONO,Equilinea,Por revisar,,,
1870,SIERRA TORREY ST-355 5HP TRIFASICA ,Naresa,Por revisar,,,
1870,SIERRA TORREY ST-355 5HP TRIFASICA ,Equilinea,Por revisar,,,
1890,VITRINA CARNICERA TORREY TEC-130 PLUS             ,Naresa,Por revisar,,,
1890,VITRINA CARNICERA TORREY TEC-130 PLUS             ,Equilinea,Por revisar,,,
1894,VITRINA CARNICERA TORREY TEC-250 PISOS Y PARRILLAS BLANCAS      ,Naresa,Por revisar,,,
1894,VITRINA CARNICERA TORREY TEC-250 PISOS Y PARRILLAS BLANCAS      ,Equilinea,Por revisar,,,
1897,VITRINA CREMERA TORREY TEM-200 BLANCA R290  ,Naresa,Por revisar,,,
1897,VITRINA CREMERA TORREY TEM-200 BLANCA R290  ,Equilinea,Por revisar,,,
1911,REPISA TORREY A INOX CALIBRE 18 90 X 25,Naresa,Por revisar,,,
1911,REPISA TORREY A INOX CALIBRE 18 90 X 25,Equilinea,Por revisar,,,
1918,VITRINA CARNICERA TORREY TEM200C ACERO INOXIDABLE ,Naresa,Por revisar,,,
1918,VITRINA CARNICERA TORREY TEM200C ACERO INOXIDABLE ,Equilinea,Por revisar,,,
1937,TURBOLICUADOR MANUAL DE INMERSION TRI-270 TORREY     ,Naresa,Por revisar,,,
1937,TURBOLICUADOR MANUAL DE INMERSION TRI-270 TORREY     ,Equilinea,Por revisar,,,
1938,TURBOLICUADOR TORREY TR-350 BRAZO NORMAL                                                           ,Naresa,Por revisar,,,
1938,TURBOLICUADOR TORREY TR-350 BRAZO NORMAL                                                           ,Equilinea,Por revisar,,,
1952,TERMOSELLADORA TORREY MOD TS-500-E   ,Naresa,Por revisar,,,
1952,TERMOSELLADORA TORREY MOD TS-500-E   ,Equilinea,Por revisar,,,
1986,VITRINA CREMERA TORREY TEM-200 BLANCA LATERALES SOLIDOS,Naresa,Por revisar,,,
1986,VITRINA CREMERA TORREY TEM-200 BLANCA LATERALES SOLIDOS,Equilinea,Por revisar,,,
1997,VITRINA CARNICERA TORREY VTA200      ,Naresa,Por revisar,,,
1997,VITRINA CARNICERA TORREY VTA200      ,Equilinea,Por revisar,,,
2014,EMPACADORA AL VACIO TORREY DOBLE CAMARA EVDA-2C160   ,Naresa,Por revisar,,,
2014,EMPACADORA AL VACIO TORREY DOBLE CAMARA EVDA-2C160   ,Equilinea,Por revisar,,,
2024,ASADOR A GAS TORREY 2 QUEMADORES A. INOX 430     ,Naresa,Por revisar,,,
2024,ASADOR A GAS TORREY 2 QUEMADORES A. INOX 430     ,Equilinea,Por revisar,,,
2033,PARRILLA A GAS TORREY 4 QUEMADORES A. INOX 430       ,Naresa,Por revisar,,,
2033,PARRILLA A GAS TORREY 4 QUEMADORES A. INOX 430       ,Equilinea,Por revisar,,,
2038,PARRILLA A GAS TORREY 6 QUEMADORES A. INOX 430   ,Naresa,Por revisar,,,
2038,PARRILLA A GAS TORREY 6 QUEMADORES A. INOX 430   ,Equilinea,Por revisar,,,
2051,PLANCHA A GAS TORREY 2 QUEMADORES A. INOX 430    ,Naresa,Por revisar,,,
2051,PLANCHA A GAS TORREY 2 QUEMADORES A. INOX 430    ,Equilinea,Por revisar,,,
2093,MODULO INDICADOR TORREY WI,Naresa,Por revisar,,,
2093,MODULO INDICADOR TORREY WI,Equilinea,Por revisar,,,
2095,BASCULA COLGANTE TORREY 500 Kg. CRS500       ,Naresa,Por revisar,,,
2095,BASCULA COLGANTE TORREY 500 Kg. CRS500       ,Equilinea,Por revisar,,,
2096,BASCULA COLGANTE TORREY 1000 Kg. CRS1000      ,Naresa,Por revisar,,,
2096,BASCULA COLGANTE TORREY 1000 Kg. CRS1000      ,Equilinea,Por revisar,,,
2124,"BASCULA COLGANTE TORREY 10,000 Kg. CRS10000    ",Naresa,Por revisar,,,
2124,"BASCULA COLGANTE TORREY 10,000 Kg. CRS10000    ",Equilinea,Por revisar,,,
2140,MODULO INDICADOT TORREY WI-W ,Naresa,Por revisar,,,
